,Time,1,2,3
S/N,,227659,227659,227659
Type,,Tinytag Ultra H°C/%RH,Tinytag Ultra H°C/%RH,csv file
Description,,GH South wall,GH South wall,GH South wall
Property,,Temperature,Humidity,Dew Point
148,2020-02-05 00:24:00,12.6 °C,57.1 %RH,4.3 °C
149,2020-02-05 00:39:00,12.6 °C,57.1 %RH,4.3 °C
150,2020-02-05 00:54:00,12.6 °C,57.1 %RH,4.3 °C
151,2020-02-05 01:09:00,12.6 °C,57.1 %RH,4.3 °C
152,2020-02-05 01:24:00,12.6 °C,56.7 %RH,4.2 °C
153,2020-02-05 01:39:00,12.8 °C,56.7 %RH,4.4 °C
154,2020-02-05 01:54:00,12.6 °C,56.7 %RH,4.2 °C
155,2020-02-05 02:09:00,12.6 °C,56.7 %RH,4.2 °C
156,2020-02-05 02:24:00,12.6 °C,56.7 %RH,4.2 °C
157,2020-02-05 02:39:00,12.6 °C,56.3 %RH,4.1 °C
158,2020-02-05 02:54:00,12.3 °C,56.3 %RH,3.8 °C
159,2020-02-05 03:09:00,12.3 °C,56.3 %RH,3.8 °C
160,2020-02-05 03:24:00,12.3 °C,56.3 %RH,3.8 °C
161,2020-02-05 03:39:00,12.3 °C,56.3 %RH,3.8 °C
162,2020-02-05 03:54:00,12.3 °C,56.7 %RH,3.9 °C
163,2020-02-05 04:09:00,12.3 °C,56.7 %RH,3.9 °C
164,2020-02-05 04:24:00,12.6 °C,56.7 %RH,4.2 °C
165,2020-02-05 04:39:00,12.3 °C,56.7 %RH,3.9 °C
166,2020-02-05 04:54:00,12.6 °C,56.7 %RH,4.2 °C
167,2020-02-05 05:09:00,12.6 °C,56.7 %RH,4.2 °C
168,2020-02-05 05:24:00,12.6 °C,56.7 %RH,4.2 °C
169,2020-02-05 05:39:00,12.6 °C,57.1 %RH,4.3 °C
170,2020-02-05 05:54:00,12.3 °C,57.1 %RH,4.0 °C
171,2020-02-05 06:09:00,12.3 °C,57.1 %RH,4.0 °C
172,2020-02-05 06:24:00,12.3 °C,57.1 %RH,4.0 °C
173,2020-02-05 06:39:00,12.3 °C,57.1 %RH,4.0 °C
174,2020-02-05 06:54:00,12.3 °C,57.1 %RH,4.0 °C
175,2020-02-05 07:09:00,12.3 °C,57.1 %RH,4.0 °C
176,2020-02-05 07:24:00,12.3 °C,57.1 %RH,4.0 °C
177,2020-02-05 07:39:00,12.3 °C,57.1 %RH,4.0 °C
178,2020-02-05 07:54:00,12.3 °C,57.1 %RH,4.0 °C
179,2020-02-05 08:09:00,12.3 °C,57.1 %RH,4.0 °C
180,2020-02-05 08:24:00,12.3 °C,57.1 %RH,4.0 °C
181,2020-02-05 08:39:00,12.3 °C,56.7 %RH,3.9 °C
182,2020-02-05 08:54:00,12.3 °C,56.7 %RH,3.9 °C
183,2020-02-05 09:09:00,12.3 °C,56.7 %RH,3.9 °C
184,2020-02-05 09:24:00,12.3 °C,56.3 %RH,3.8 °C
185,2020-02-05 09:39:00,12.3 °C,56.3 %RH,3.8 °C
186,2020-02-05 09:54:00,12.3 °C,56.3 %RH,3.8 °C
187,2020-02-05 10:09:00,12.3 °C,56.3 %RH,3.8 °C
188,2020-02-05 10:24:00,12.3 °C,56.3 %RH,3.8 °C
189,2020-02-05 10:39:00,12.6 °C,56.3 %RH,4.1 °C
190,2020-02-05 10:54:00,12.3 °C,56.3 %RH,3.8 °C
191,2020-02-05 11:09:00,12.3 °C,56.3 %RH,3.8 °C
192,2020-02-05 11:24:00,12.3 °C,56.3 %RH,3.8 °C
193,2020-02-05 11:39:00,12.3 °C,56.3 %RH,3.8 °C
194,2020-02-05 11:54:00,12.6 °C,56.3 %RH,4.1 °C
195,2020-02-05 12:09:00,12.6 °C,56.3 %RH,4.1 °C
196,2020-02-05 12:24:00,12.3 °C,56.3 %RH,3.8 °C
197,2020-02-05 12:39:00,12.3 °C,56.3 %RH,3.8 °C
198,2020-02-05 12:54:00,12.3 °C,56.3 %RH,3.8 °C
199,2020-02-05 13:09:00,12.3 °C,56.3 %RH,3.8 °C
200,2020-02-05 13:24:00,12.6 °C,56.3 %RH,4.1 °C
201,2020-02-05 13:39:00,12.3 °C,56.3 %RH,3.8 °C
202,2020-02-05 13:54:00,12.6 °C,56.3 %RH,4.1 °C
203,2020-02-05 14:09:00,12.6 °C,56.3 %RH,4.1 °C
204,2020-02-05 14:24:00,12.6 °C,56.3 %RH,4.1 °C
205,2020-02-05 14:39:00,12.8 °C,56.3 %RH,4.3 °C
206,2020-02-05 14:54:00,12.8 °C,56.3 %RH,4.3 °C
