,Time,1,2,3
S/N,,240424,240424,240424
Type,,Tinytag Ultra H°C/%RH,Tinytag Ultra H°C/%RH,csv file
Description,,Strongroom West Wall,Strongroom West Wall,Strongroom West Wall
Property,,Temperature,Humidity,Dew Point
296,2020-05-01 17:52:00,17.7 °C,50.6 %RH,7.3 °C
297,2020-05-01 18:07:00,17.7 °C,50.6 %RH,7.3 °C
298,2020-05-01 18:22:00,17.7 °C,50.6 %RH,7.3 °C
299,2020-05-01 18:37:00,17.7 °C,50.6 %RH,7.3 °C
300,2020-05-01 18:52:00,17.7 °C,50.6 %RH,7.3 °C
301,2020-05-01 19:07:00,17.7 °C,50.6 %RH,7.3 °C
302,2020-05-01 19:22:00,17.7 °C,50.6 %RH,7.3 °C
303,2020-05-01 19:37:00,17.7 °C,50.6 %RH,7.3 °C
304,2020-05-01 19:52:00,17.7 °C,50.6 %RH,7.3 °C
305,2020-05-01 20:07:00,17.7 °C,50.6 %RH,7.3 °C
306,2020-05-01 20:22:00,17.7 °C,50.6 %RH,7.3 °C
307,2020-05-01 20:37:00,17.7 °C,50.6 %RH,7.3 °C
308,2020-05-01 20:52:00,17.7 °C,50.6 %RH,7.3 °C
309,2020-05-01 21:07:00,17.7 °C,50.6 %RH,7.3 °C
310,2020-05-01 21:22:00,17.7 °C,50.6 %RH,7.3 °C
311,2020-05-01 21:37:00,17.7 °C,50.6 %RH,7.3 °C
312,2020-05-01 21:52:00,17.7 °C,50.6 %RH,7.3 °C
313,2020-05-01 22:07:00,17.7 °C,50.6 %RH,7.3 °C
314,2020-05-01 22:22:00,17.7 °C,50.6 %RH,7.3 °C
315,2020-05-01 22:37:00,17.7 °C,50.6 %RH,7.3 °C
316,2020-05-01 22:52:00,17.7 °C,50.6 %RH,7.3 °C
317,2020-05-01 23:07:00,17.7 °C,50.6 %RH,7.3 °C
318,2020-05-01 23:22:00,17.7 °C,50.6 %RH,7.3 °C
319,2020-05-01 23:37:00,17.7 °C,50.6 %RH,7.3 °C
320,2020-05-01 23:52:00,17.7 °C,50.6 %RH,7.3 °C
321,2020-05-02 00:07:00,17.7 °C,50.6 %RH,7.3 °C
322,2020-05-02 00:22:00,17.7 °C,50.6 %RH,7.3 °C
323,2020-05-02 00:37:00,17.7 °C,50.6 %RH,7.3 °C
324,2020-05-02 00:52:00,17.7 °C,50.6 %RH,7.3 °C
325,2020-05-02 01:07:00,17.7 °C,50.6 %RH,7.3 °C
326,2020-05-02 01:22:00,17.7 °C,50.6 %RH,7.3 °C
327,2020-05-02 01:37:00,17.7 °C,50.6 %RH,7.3 °C
328,2020-05-02 01:52:00,17.7 °C,50.6 %RH,7.3 °C
329,2020-05-02 02:07:00,17.7 °C,50.6 %RH,7.3 °C
330,2020-05-02 02:22:00,17.7 °C,50.6 %RH,7.3 °C
331,2020-05-02 02:37:00,17.7 °C,50.6 %RH,7.3 °C
332,2020-05-02 02:52:00,17.7 °C,50.6 %RH,7.3 °C
333,2020-05-02 03:07:00,17.7 °C,50.6 %RH,7.3 °C
334,2020-05-02 03:22:00,17.7 °C,50.6 %RH,7.3 °C
335,2020-05-02 03:37:00,17.7 °C,50.6 %RH,7.3 °C
336,2020-05-02 03:52:00,17.7 °C,50.6 %RH,7.3 °C
337,2020-05-02 04:07:00,17.7 °C,50.6 %RH,7.3 °C
338,2020-05-02 04:22:00,17.7 °C,50.6 %RH,7.3 °C
339,2020-05-02 04:37:00,17.7 °C,50.6 %RH,7.3 °C
340,2020-05-02 04:52:00,17.7 °C,50.6 %RH,7.3 °C
341,2020-05-02 05:07:00,17.7 °C,50.6 %RH,7.3 °C
342,2020-05-02 05:22:00,17.7 °C,50.6 %RH,7.3 °C
343,2020-05-02 05:37:00,17.7 °C,50.6 %RH,7.3 °C
344,2020-05-02 05:52:00,17.7 °C,50.6 %RH,7.3 °C
345,2020-05-02 06:07:00,17.7 °C,50.6 %RH,7.3 °C
346,2020-05-02 06:22:00,17.7 °C,50.6 %RH,7.3 °C
347,2020-05-02 06:37:00,17.7 °C,50.6 %RH,7.3 °C
348,2020-05-02 06:52:00,17.7 °C,50.6 %RH,7.3 °C
349,2020-05-02 07:07:00,17.7 °C,50.6 %RH,7.3 °C
350,2020-05-02 07:22:00,17.7 °C,50.6 %RH,7.3 °C
351,2020-05-02 07:37:00,17.7 °C,50.6 %RH,7.3 °C
352,2020-05-02 07:52:00,17.7 °C,50.6 %RH,7.3 °C
353,2020-05-02 08:07:00,17.7 °C,50.6 %RH,7.3 °C
354,2020-05-02 08:22:00,17.7 °C,50.6 %RH,7.3 °C
355,2020-05-02 08:37:00,17.7 °C,50.6 %RH,7.3 °C
356,2020-05-02 08:52:00,17.7 °C,50.6 %RH,7.3 °C
357,2020-05-02 09:07:00,17.7 °C,50.6 %RH,7.3 °C
358,2020-05-02 09:22:00,17.7 °C,50.6 %RH,7.3 °C
359,2020-05-02 09:37:00,17.7 °C,50.6 %RH,7.3 °C
360,2020-05-02 09:52:00,17.7 °C,50.6 %RH,7.3 °C
361,2020-05-02 10:07:00,17.7 °C,50.6 %RH,7.3 °C
362,2020-05-02 10:22:00,17.7 °C,50.6 %RH,7.3 °C
